Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-01-22 09:02:22.832000,4149.35483871,0,4136.12903226,0,4029.03225806,0,4172.90322581,0,4155.16129032,0,4163.5483871,0,4175.80645161,0,4253.22580645,0,4307.41935484,0,4281.29032258,0,4300.0,0,4209.35483871,0,4160.32258065,0,4226.77419355,0,0,0,?
2018-01-22 09:02:22.847000,4180.32258065,0,4109.67741935,0,4022.58064516,0,4159.35483871,0,4164.19354839,0,4169.35483871,0,4190.64516129,0,4230.64516129,0,4263.5483871,0,4284.51612903,0,4274.19354839,0,4217.09677419,0,4194.51612903,0,4260.32258065,0,0,0,?
2018-01-22 09:02:22.851000,4158.70967742,0,4140.96774194,0,4047.09677419,0,4125.48387097,0,4154.51612903,0,4169.67741935,0,4165.48387097,0,4242.25806452,0,4252.90322581,0,4303.5483871,0,4239.03225806,0,4193.5483871,0,4146.77419355,0,4211.93548387,0,0,0,?
2018-01-22 09:02:22.861000,4167.41935484,0,4103.87096774,0,4017.74193548,0,4140.32258065,0,4150.32258065,0,4163.5483871,0,4181.29032258,0,4210.0,0,4249.35483871,0,4282.90322581,0,4304.83870968,0,4218.38709677,0,4206.12903226,0,4231.93548387,0,0,0,?
2018-01-22 09:02:22.863000,4163.87096774,0,4097.09677419,0,4014.83870968,0,4129.03225806,0,4147.09677419,0,4158.70967742,0,4174.51612903,0,4196.12903226,0,4263.87096774,0,4271.61290323,0,4277.74193548,0,4196.77419355,0,4178.06451613,0,4218.38709677,0,0,0,?
2018-01-22 09:02:22.878000,4140.64516129,0,4108.70967742,0,4042.25806452,0,4146.4516129,0,4161.93548387,0,4166.77419355,0,4175.16129032,0,4224.51612903,0,4279.35483871,0,4284.83870968,0,4284.19354839,0,4206.4516129,0,4160.96774194,0,4259.03225806,0,0,0,?
2018-01-22 09:02:22.882000,4180.0,0,4126.4516129,0,4027.41935484,0,4134.83870968,0,4167.74193548,0,4174.51612903,0,4193.22580645,0,4210.96774194,0,4240.32258065,0,4277.41935484,0,4254.83870968,0,4203.22580645,0,4210.96774194,0,4199.03225806,0,0,0,?
2018-01-22 09:02:22.894000,4140.0,0,4130.32258065,0,4031.93548387,0,4103.5483871,0,4144.83870968,0,4158.06451613,0,4158.70967742,0,4206.77419355,0,4235.48387097,0,4298.06451613,0,4266.77419355,0,4223.22580645,0,4176.12903226,0,4197.74193548,0,0,0,?
2018-01-22 09:02:22.895000,4163.5483871,0,4113.87096774,0,4043.87096774,0,4141.93548387,0,4161.61290323,0,4167.41935484,0,4184.83870968,0,4217.74193548,0,4261.93548387,0,4301.93548387,0,4280.0,0,4204.83870968,0,4168.06451613,0,4230.0,0,0,0,?
2018-01-22 09:02:22.911000,4183.22580645,0,4096.77419355,0,4042.58064516,0,4140.64516129,0,4169.67741935,0,4175.80645161,0,4188.70967742,0,4213.87096774,0,4269.03225806,0,4290.32258065,0,4282.25806452,0,4194.19354839,0,4168.38709677,0,4237.41935484,0,0,0,?
2018-01-22 09:02:22.912000,4140.64516129,0,4121.29032258,0,4034.51612903,0,4140.64516129,0,4159.03225806,0,4163.22580645,0,4168.06451613,0,4197.74193548,0,4235.16129032,0,4289.67741935,0,4284.19354839,0,4220.96774194,0,4175.48387097,0,4264.83870968,0,0,0,?
